Sample ID,station,Latitude,Longitude,Date,Time,Depth,Sample type,Sample depth,Volume filtered,Acidified,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment,eventDate
P17,10,47.667,-147.5,24-Feb-19,16:50:00,4600,POM,5,2000,no,-24.89,152.62,NA,4.05,22.45,NA,NA
P18,10,47.667,-147.5,24-Feb-19,16:50:00,4600,POM,5,2000,yes,-25.74,142.62,NA,3.17,26.05,NA,NA
P19,11,48.668,-147.5,25-Feb-19,02:05:00,4700,POM,5,2000,no,-24.84,131.78,NA,1.65,20.74,NA,NA
P20,11,48.668,-147.5,25-Feb-19,02:05:00,4700,POM,5,2000,yes,-25.33,111.96,NA,1.62,21.68,NA,NA
P21,12,49.667,-147.5,25-Feb-19,11:15:00,4800,POM,5,2000,no,-24.32,124.35,NA,1.61,19.7,Precision decreases for samples containing less than 20ugN,NA
P22,12,49.667,-147.5,25-Feb-19,11:15:00,4800,POM,5,2000,yes,-26.19,109.9,NA,-0.55,20.65,NA,NA
P23,13,50.667,-147.5,25-Feb-19,20:36:00,4800,POM,5,2000,no,-25.83,103.99,NA,1.9,42.51,NA,NA
P24,13,50.667,-147.5,25-Feb-19,20:36:00,4800,POM,5,2000,yes,-26.16,107.18,NA,0.97,20.91,NA,NA
P25,14,51.666,-147.501,26-Feb-19,05:15:00,4200,POM,5,2000,no,-23.91,120.51,NA,2.95,18.66,Precision decreases for samples containing less than 20ugN,NA
P26,14,51.666,-147.501,26-Feb-19,05:15:00,4200,POM,5,2000,yes,-25.46,100.31,NA,2.39,18.05,Precision decreases for samples containing less than 20ugN,NA
P27,15,52.667,-147.5,26-Feb-19,13:30:00,4200,POM,5,2000,no,-25.2,117.32,NA,3.08,20.86,NA,NA
P28,15,52.667,-147.5,26-Feb-19,13:30:00,4200,POM,5,2000,yes,-25.63,137.77,NA,1.89,40.55,NA,NA
P29,16,53.667,-147.5,26-Feb-19,21:25:00,4200,POM,5,2000,no,-26.34,102.23,NA,1.93,30.42,NA,NA
P30,16,53.667,-147.5,26-Feb-19,21:25:00,4200,POM,5,2000,yes,-27.26,118.06,NA,1.89,41.31,NA,NA
P31,17,54.667,-147.5,27-Feb-19,05:45:00,3500,POM,5,2000,no,-26.85,346.13,NA,3.5,19.57,Precision decreases for samples containing less than 20ugN,NA
P32,17,54.667,-147.5,27-Feb-19,05:45:00,3500,POM,5,2000,yes,-25.98,102.28,NA,2.04,30.72,NA,NA
P33,18,55.668,-147.5,27-Feb-19,14:30:00,4150,POM,5,2000,no,-26.32,132.13,NA,2.27,33.9,NA,NA
P34,18,55.668,-147.5,27-Feb-19,14:30:00,4150,POM,5,2000,yes,-27,123.32,NA,2.25,18.7,Precision decreases for samples containing less than 20ugN,NA
P35,19,56.667,-147.5,27-Feb-19,22:27:00,4000,POM,5,2000,no,-26.73,130.33,NA,2.62,19.15,Precision decreases for samples containing less than 20ugN,NA
P36,19,56.667,-147.5,27-Feb-19,22:27:00,4000,POM,5,2000,yes,-28,108.56,NA,2.48,29.03,NA,NA
P37,20,56.667,-146,28-Feb-19,06:15:00,4000,POM,5,2000,no,-27.03,107.94,NA,1.26,49.39,NA,NA
P38,20,56.667,-146,28-Feb-19,06:15:00,4000,POM,5,2000,yes,-26.77,90.92,Precision decreases for samples containing less than 100ugC,1.13,44.44,NA,NA
P39,21,56.667,-144.5,28-Feb-19,13:50:00,4000,POM,5,2000,no,-27.11,135.69,NA,2.9,18.16,Precision decreases for samples containing less than 20ugN,NA
P40,21,56.667,-144.5,28-Feb-19,13:50:00,4000,POM,5,2000,yes,-27.26,129.45,NA,2.29,35.03,NA,NA
P41,22,56.667,-143,28-Feb-19,21:05:00,3800,POM,5,2000,no,-26.18,120.64,NA,3.94,17.11,Precision decreases for samples containing less than 20ugN,NA
P42,22,56.667,-143,28-Feb-19,21:05:00,3800,POM,5,2000,yes,-27.18,88.16,Precision decreases for samples containing less than 100ugC,2.67,26.16,NA,NA
P43,23,55.667,-142.998,1-Mar-19,05:23:00,3800,POM,5,2000,no,-23.96,121.14,NA,4.93,18.01,Precision decreases for samples containing less than 20ugN,NA
P44,23,55.667,-142.998,1-Mar-19,05:23:00,3800,POM,5,2000,yes,-28.29,109.49,NA,2.15,35.93,NA,NA
P45,23,55.667,-142.998,1-Mar-19,05:23:00,3800,POM,5,800,no,-26.28,52.84,Precision decreases for samples containing less than 100ugC,2.04,26.18,NA,NA
P46,24,55.667,-144.5,1-Mar-19,13:15:00,3380,POM,5,2000,no,-26.19,143.51,NA,2.4,36.08,NA,NA
P47,24,55.667,-144.5,1-Mar-19,13:15:00,3380,POM,5,2000,yes,-26.56,141.39,NA,2.4,33.62,NA,NA
P48,25,55.667,-145.997,1-Mar-19,20:30:00,4000,POM,5,2000,no,-25.8,161.72,NA,3.26,32.9,NA,NA
P49,25,55.667,-145.997,1-Mar-19,20:30:00,4000,POM,5,2000,yes,-26.23,115.2,NA,2.61,24.52,NA,NA
P50,26,54.669,-145.986,2-Mar-19,04:40:00,4120,POM,5,2000,no,-25.4,122.74,NA,2.85,26.76,NA,NA
P51,26,54.669,-145.986,2-Mar-19,04:40:00,4120,POM,5,2000,yes,-26.96,130.39,NA,2.32,19.96,Precision decreases for samples containing less than 20ugN,NA
P52,27,53.667,-146,2-Mar-19,12:50:00,4000,POM,5,2000,no,-24.82,135.04,NA,3.16,19.92,Precision decreases for samples containing less than 20ugN,NA
P53,27,53.667,-146,2-Mar-19,12:50:00,4000,POM,5,2000,yes,-25.69,118.78,NA,2.68,27.32,NA,NA
P54,28,52.668,-146,2-Mar-19,20:40:00,4000,POM,5,2000,no,-25.13,139.57,NA,3.21,25.31,NA,NA
P55,28,52.668,-146,2-Mar-19,20:40:00,4000,POM,5,2000,yes,-25.64,114.05,NA,2.43,22.28,NA,NA
P56,29,51.667,-146,3-Mar-19,04:45:00,4000,POM,5,2000,no,-23.88,129.16,NA,1.24,18,Precision decreases for samples containing less than 20ugN,NA
P57,29,51.667,-146,3-Mar-19,04:45:00,4000,POM,5,2000,yes,-26.25,126.97,NA,1.6,39.48,NA,NA
P58,30,50.667,-146,3-Mar-19,13:05:00,3700,POM,5,2000,no,-23.67,135.79,NA,1.39,38.54,NA,NA
P59,30,50.667,-146,3-Mar-19,13:05:00,3700,POM,5,2000,yes,-25.61,120.21,NA,1.29,34.03,NA,NA
P60,31,49.667,-146,3-Mar-19,20:50:00,4500,POM,5,2000,no,-23.13,151.62,NA,1.03,22.19,NA,NA
P61,31,49.667,-146,3-Mar-19,20:50:00,4500,POM,5,2000,yes,-25.75,129.94,NA,1.01,41.61,NA,NA
P62,32,48.667,-146,4-Mar-19,05:35:00,4500,POM,5,2000,no,-24.71,170.13,NA,1.55,44.39,NA,NA
P63,32,48.667,-146,4-Mar-19,05:35:00,4500,POM,5,2000,yes,-25.54,158.43,NA,1.17,44.24,NA,NA
P64,33,48.667,-144.5,4-Mar-19,13:45:00,4000,POM,5,2000,no,-23.22,168.91,NA,1.97,29.87,NA,NA
P65,33,48.667,-144.5,4-Mar-19,13:45:00,4000,POM,5,2000,yes,-24.97,160.33,NA,1.12,36.86,NA,NA
P66,34,49.667,-144.5,4-Mar-19,21:45:00,4000,POM,5,2000,no,-23.32,199.75,NA,1.83,45.7,NA,NA
P67,34,49.667,-144.5,4-Mar-19,21:45:00,4000,POM,5,2000,yes,-25.21,165.57,NA,1.82,35.96,NA,NA
P68,35,50.668,-144.507,5-Mar-19,06:17:00,4170,POM,5,2000,no,-24.03,160.64,NA,2.22,26.24,NA,NA
P69,35,50.668,-144.507,5-Mar-19,06:17:00,4170,POM,5,2000,yes,-25.5,147.44,NA,2.55,39.72,NA,NA
P70,36,51.667,-144.5,5-Mar-19,14:25:00,4000,POM,5,2000,no,-24.21,169.58,NA,1.46,51.27,NA,NA
P71,36,51.667,-144.5,5-Mar-19,14:25:00,4000,POM,5,2000,yes,-25.87,180.49,NA,2.12,36.13,NA,NA
P72,37,52.667,-144.5,5-Mar-19,22:15:00,4000,POM,5,2000,no,-24.65,168.64,NA,2.69,34.39,NA,NA
P73,37,52.667,-144.5,5-Mar-19,22:15:00,4000,POM,5,2000,yes,-25.55,151.07,NA,2.13,35.69,NA,NA
P74,38,53.667,-144.5,6-Mar-19,06:05:00,2800,POM,5,2000,no,-25.06,152.68,NA,2.48,34.42,NA,NA
P75,38,53.667,-144.5,6-Mar-19,06:05:00,2800,POM,5,2000,yes,-25.72,140.4,NA,2.58,28.88,NA,NA
P76,39,54.667,-144.5,6-Mar-19,14:10:00,4000,POM,5,2000,no,-25.76,136.94,NA,2.39,30.17,NA,NA
P77,39,54.667,-144.5,6-Mar-19,14:10:00,4000,POM,5,2000,yes,-26.38,139.78,NA,2.17,26.73,NA,NA
P78,40,54.667,-143,6-Mar-19,21:10:00,3900,POM,5,2000,no,-25.34,167.21,NA,2.84,23.99,NA,NA
P79,40,54.667,-143,6-Mar-19,21:10:00,3900,POM,5,2000,yes,-26.17,170.45,NA,1.83,23.54,NA,NA
P80,41,53.667,-143,7-Mar-19,05:15:00,3900,POM,5,2000,no,-25.22,156.51,NA,2.72,36.76,NA,NA
P81,41,53.667,-143,7-Mar-19,05:15:00,3900,POM,5,2000,yes,-26.63,157.36,NA,3.18,29.8,NA,NA
P82,42,52.667,-143,7-Mar-19,13:10:00,3850,POM,5,2000,no,-25.26,162.85,NA,4.27,23.9,NA,NA
P83,42,52.667,-143,7-Mar-19,13:10:00,3850,POM,5,2000,yes,-25.94,154.16,NA,3.87,23.95,NA,NA
P84,43,51.667,-143.003,7-Mar-19,21:23:00,3900,POM,5,2000,no,-25.07,186.28,NA,2.07,48.51,NA,NA
P85,43,51.667,-143.003,7-Mar-19,21:23:00,3900,POM,5,2000,yes,-25.77,168.29,NA,2.37,30.94,NA,NA
P86,44,50.667,-143,8-Mar-19,05:58:00,4000,POM,5,2000,no,-23.07,186.77,NA,2.61,28.51,NA,NA
P87,44,50.667,-143,8-Mar-19,05:58:00,4000,POM,5,2000,yes,-25.17,173.06,NA,2.76,32.1,NA,NA
P88,45,49.667,-142.999,8-Mar-19,14:35:00,4200,POM,5,2000,no,-24.47,187.2,NA,2.83,33.28,NA,NA
P89,45,49.667,-142.999,8-Mar-19,14:35:00,4200,POM,5,2000,yes,-26.02,214.85,NA,2.45,34.46,NA,NA
P90,46,48.667,-142.997,9-Mar-19,00:19:00,4300,POM,5,2000,no,-24.89,195.75,NA,2.77,26.72,NA,NA
P91,46,48.667,-142.997,9-Mar-19,00:19:00,4300,POM,5,2000,yes,-25.6,179.02,NA,2.95,34.3,NA,NA
P92,47,48.667,-141.501,9-Mar-19,08:30:00,4200,POM,5,2000,no,-24.31,163.23,NA,3.02,22.72,NA,NA
P93,47,48.667,-141.501,9-Mar-19,08:30:00,4200,POM,5,2000,yes,-25.37,131.21,NA,3.02,30.84,NA,NA
P94,48,49.667,-141.5,9-Mar-19,17:50:00,4000,POM,5,2000,no,-24.07,201.78,NA,2.4,30.38,NA,NA
P95,48,49.667,-141.5,9-Mar-19,17:50:00,4000,POM,5,2000,yes,-25.65,168.08,NA,2.5,42.71,NA,NA
P96,49,50.666,-141.499,10-Mar-19,02:20:00,3900,POM,5,2000,no,-24.66,151.32,NA,3.44,34.92,NA,NA
P97,49,50.666,-141.499,10-Mar-19,02:20:00,3900,POM,5,2000,yes,-25.53,134.01,NA,2.49,46,NA,NA
P98,50,51.665,-141.498,10-Mar-19,10:51:00,3600,POM,5,2000,no,-24.88,150.64,NA,4,23.95,NA,NA
P99,50,51.665,-141.498,10-Mar-19,10:51:00,3600,POM,5,2000,yes,-25.72,149.05,NA,2.7,44.24,NA,NA
P100,51,52.667,-141.5,10-Mar-19,18:55:00,3800,POM,5,2000,no,-24.97,175.98,NA,2.75,39.09,NA,NA
P101,51,52.667,-141.5,10-Mar-19,18:55:00,3800,POM,5,2000,yes,-25.8,176.2,NA,2.56,41.91,NA,NA
P102,52,53.666,-141.497,11-Mar-19,03:02:00,3800,POM,5,2000,no,-25.32,138.85,NA,3.99,22.89,NA,NA
P103,52,53.666,-141.497,11-Mar-19,03:02:00,3800,POM,5,2000,yes,-26.08,138.4,NA,2.45,38.59,NA,NA
P104,53,53.668,-140.001,11-Mar-19,11:07:00,4600,POM,5,2000,no,-25.41,147.06,NA,3.09,35.52,NA,NA
P105,53,53.668,-140.001,11-Mar-19,11:07:00,4600,POM,5,2000,yes,-26.27,127.29,NA,3.09,27.84,NA,NA
P106,54,52.667,-140,11-Mar-19,23:20:00,3600,POM,5,2000,no,-25.13,125.22,NA,3,34.92,NA,NA
P107,54,52.667,-140,11-Mar-19,23:20:00,3600,POM,5,2000,yes,-25.79,124.45,NA,2.87,37.59,NA,NA
P108,55,51.667,-140,12-Mar-19,20:24:00,3800,POM,5,2000,no,-24.89,134.89,NA,3.25,32.2,NA,NA
P109,55,51.667,-140,12-Mar-19,20:24:00,3800,POM,5,2000,yes,-25.6,124.45,NA,3.57,21.57,NA,NA
P110,56,50.667,-140,13-Mar-19,03:50:00,3700,POM,5,2000,no,-25.2,114.32,NA,4.02,18.28,Precision decreases for samples containing less than 20ugN,NA
P111,56,50.667,-140,13-Mar-19,03:50:00,3700,POM,5,2000,yes,-25.69,102.22,NA,3.49,18.08,Precision decreases for samples containing less than 20ugN,NA
P112,57,50.667,-138.5,13-Mar-19,12:27:00,3220,POM,5,2000,no,-25.12,99.44,Precision decreases for samples containing less than 100ugC,3.79,25.4,NA,NA
P113,57,50.667,-138.5,13-Mar-19,12:27:00,3220,POM,5,2000,yes,-25.85,124.79,NA,3.56,25.03,NA,NA
P114,58,49.664,-138.497,14-Mar-19,06:08:00,3900,POM,5,2000,no,-24.87,112.64,NA,4.75,23.94,NA,NA
P115,58,49.664,-138.497,14-Mar-19,06:08:00,3900,POM,5,2000,yes,-25.78,111.42,NA,4.89,18.7,Precision decreases for samples containing less than 20ugN,NA
P116,59,48.667,-138.5,14-Mar-19,19:40:00,4050,POM,5,2000,no,-24.19,102.14,NA,3.93,26.55,NA,NA
P117,59,48.667,-138.5,14-Mar-19,19:40:00,4050,POM,5,2000,yes,-24.88,109.2,NA,3.44,19.59,Precision decreases for samples containing less than 20ugN,NA
P118,60,48.666,-139.994,15-Mar-19,03:59:00,3800,POM,5,2000,no,-25.05,96.56,Precision decreases for samples containing less than 100ugC,4.29,11.48,Precision decreases for samples containing less than 20ugN,NA
P119,60,48.666,-139.994,15-Mar-19,03:59:00,3800,POM,5,2000,yes,-26.13,95.58,Precision decreases for samples containing less than 100ugC,2.14,12.81,Precision decreases for samples containing less than 20ugN,NA
